Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
01/21/2020,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,3,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,3,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020,3,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,5,0,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,11,0,1,2,3,2,0,0,2,1,0,8,3,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,12,0,0,3,1,3,3,2,0,0,0,3,9,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2020,21,0,0,6,5,2,4,3,1,0,0,6,15,0,2,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,32,0,0,4,13,5,5,5,0,0,0,7,25,0,4,2,4,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2020,31,0,0,9,2,7,6,3,3,1,0,17,12,2,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/15/2020,40,0,0,3,8,9,8,5,4,3,0,13,27,0,6,4,12,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/16/2020,78,1,1,14,21,18,12,7,4,1,0,37,41,0,8,6,25,30,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
03/17/2020,96,1,0,15,21,18,17,19,2,4,0,36,58,2,7,3,38,40,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
03/18/2020,165,1,2,31,33,41,23,18,12,5,0,81,84,0,20,8,67,62,3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
03/20/2020,154,0,2,23,22,31,30,27,15,4,0,69,85,0,20,6,76,38,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/21/2020,125,2,0,18,25,20,28,16,13,5,0,53,72,0,24,6,61,26,4,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0
03/22/2020,168,2,6,23,28,31,36,24,14,6,0,74,94,0,22,6,81,47,8,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0
03/23/2020,292,3,4,46,56,54,56,30,35,11,0,141,151,0,38,12,132,73,13,24,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0
03/24/2020,354,2,1,59,69,58,58,61,34,14,0,161,192,1,63,13,159,84,9,26,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0
03/25/2020,367,5,2,51,71,71,83,33,36,20,0,170,196,1,49,10,183,85,18,22,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0
03/27/2020,404,8,4,43,62,86,101,48,37,22,1,210,192,2,68,10,206,70,13,37,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0
03/30/2020,441,12,6,54,78,79,82,61,43,38,0,221,220,0,83,12,210,75,19,42,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0
04/01/2020,459,24,3,54,69,87,84,92,41,29,0,237,202,20,98,19,220,62,15,45,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1
04/02/2020,437,15,2,59,69,84,92,56,41,34,0,208,224,5,89,13,224,57,15,39,0,0,0,1,2,1,7,4,0,5,10,0,2,2,9,2,0,0
04/05/2020,293,26,3,31,48,49,73,43,22,24,0,126,164,3,68,11,112,54,13,35,0,0,0,2,5,2,10,7,0,8,18,0,4,0,18,4,0,0
04/10/2020,557,31,20,79,97,96,107,85,39,34,0,252,299,6,160,24,206,74,26,67,0,0,1,2,3,3,9,13,0,10,21,0,3,2,23,3,0,0
04/12/2020,333,33,28,32,55,53,58,42,34,31,0,139,177,17,88,7,113,52,20,53,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0
04/14/2020,646,34,16,99,120,118,120,73,51,49,0,344,301,1,225,22,185,93,36,85,0,1,2,1,3,5,9,13,0,11,23,0,8,2,12,11,0,1
04/15/2020,614,31,20,90,102,108,122,83,46,43,0,292,319,3,225,20,173,60,43,93,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0
04/17/2020,757,41,16,128,124,144,142,112,45,46,0,379,374,4,280,21,198,110,45,103,0,0,1,2,4,7,13,14,0,13,28,0,10,2,18,10,0,1
04/18/2020,527,37,13,85,100,96,90,78,44,21,0,239,283,5,170,18,156,54,25,104,0,0,0,3,4,8,12,10,0,19,18,0,12,5,18,2,0,0
04/19/2020,457,36,7,68,61,66,75,72,48,60,0,208,247,2,139,20,169,53,25,51,0,0,0,3,7,8,5,13,0,11,25,0,14,4,13,4,1,0
04/20/2020,974,38,23,155,178,206,192,124,54,41,1,474,490,10,393,26,239,113,45,158,0,0,1,1,4,5,9,18,0,15,23,0,11,2,15,10,0,0
