Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Publisher
01/21/2020,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
02/28/2020,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
03/05/2020,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
03/06/2020,3,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
03/07/2020,3,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
03/08/2020,3,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
03/09/2020,5,0,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
03/10/2020,11,0,1,2,3,2,0,0,2,1,0,8,3,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
03/11/2020,12,0,0,3,1,3,3,2,0,0,0,3,9,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
06/17/2020,218,22,18,57,32,31,30,23,15,12,0,107,109,2,98,3,40,30,6,41,0,0,0,2,3,7,5,5,0,11,11,0,10,1,7,4,0,0,City of Chicago
03/14/2020,31,0,0,9,2,7,6,3,3,1,0,17,12,2,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
04/08/2020,702,36,11,86,100,106,154,129,68,48,0,317,345,40,171,21,298,102,32,78,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,City of Chicago
03/13/2020,33,0,0,4,14,5,5,5,0,0,0,8,25,0,4,3,4,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
04/02/2020,442,15,2,60,69,85,93,58,41,34,0,211,227,4,89,13,226,57,17,40,0,0,0,1,2,1,7,4,0,5,10,0,2,2,9,2,0,0,City of Chicago
06/25/2020,245,10,21,68,64,37,21,18,12,4,0,122,123,0,84,3,55,39,10,54,0,0,0,3,0,2,2,3,0,5,5,0,6,0,3,1,0,0,City of Chicago
07/12/2020,72,4,7,20,12,13,8,4,6,2,0,42,30,0,23,3,23,14,4,5,0,0,0,0,0,2,0,2,0,2,2,0,1,0,1,2,0,0,City of Chicago
04/07/2020,561,25,2,85,109,94,83,81,55,52,0,293,261,7,164,16,197,89,27,68,0,0,0,1,5,4,10,5,0,11,14,0,6,0,16,2,1,0,City of Chicago
03/23/2020,292,3,4,46,56,54,56,30,35,11,0,141,151,0,38,12,134,73,12,23,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,City of Chicago
04/23/2020,1473,36,32,195,205,225,241,245,161,168,1,734,648,91,474,20,372,176,67,364,0,1,1,4,3,9,8,10,0,9,27,0,13,2,14,7,0,0,City of Chicago
04/12/2020,341,33,28,32,56,54,60,46,34,31,0,141,183,17,91,7,116,56,21,50,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,City of Chicago
06/30/2020,266,3,25,91,61,39,23,16,5,6,0,136,129,1,107,3,52,44,3,57,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0,City of Chicago
04/30/2020,1281,40,57,232,225,229,185,152,99,102,0,624,627,30,539,23,214,148,47,310,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,City of Chicago
06/10/2020,235,11,12,56,46,31,37,26,18,9,0,129,101,5,99,3,48,29,7,49,0,0,1,2,2,1,4,1,0,4,7,0,4,1,6,0,0,0,City of Chicago
06/21/2020,47,10,4,16,11,3,7,2,3,1,0,28,19,0,15,1,10,6,2,13,0,0,1,0,0,3,3,3,0,5,5,0,3,0,3,4,0,0,City of Chicago
07/06/2020,272,4,21,74,64,40,34,21,11,7,0,146,120,6,83,10,64,41,8,66,0,0,0,0,1,1,0,2,0,3,1,0,1,0,1,2,0,0,City of Chicago
06/23/2020,230,8,12,71,43,36,27,16,17,8,0,114,115,1,95,7,37,44,4,43,0,0,0,0,0,3,2,3,0,3,5,0,3,0,4,1,0,0,City of Chicago
03/16/2020,78,1,1,14,21,18,12,7,4,1,0,37,41,0,8,6,25,30,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,City of Chicago
04/03/2020,470,24,2,73,64,77,94,79,49,32,0,257,212,1,113,24,186,80,15,52,0,0,1,2,2,4,6,9,0,12,12,0,3,0,19,2,0,0,City of Chicago
06/11/2020,205,10,19,65,28,29,32,19,9,4,0,107,93,5,98,3,31,25,5,43,0,0,0,1,1,2,2,4,0,4,6,0,3,1,4,2,0,0,City of Chicago
07/04/2020,61,5,8,16,10,13,6,5,2,1,0,33,26,2,11,0,16,12,3,19,0,0,0,0,0,2,1,2,0,1,4,0,4,0,0,0,1,0,City of Chicago
06/29/2020,278,7,22,92,54,35,39,17,9,10,0,137,138,3,101,2,61,50,9,55,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0,City of Chicago
