Date,Ventilators - Total Capacity,Ventilators in Use - Total,Ventilators in Use - COVID-19,Ventilators in Use - COVID-19 Patients,Ventilators in Use - COVID-19 PUI,Ventilators in Use - Non-COVID-19,Ventilators Available - Total,Ventilators Available - Hospital,Ventilators Available - EAMC Cache,Ventilator Surge Capacity,ICU Beds - Total Capacity,ICU Beds - Adult,ICU Beds - Pediatric,ICU Beds in Use - Total,ICU Beds in Use - COVID-19,ICU Beds in Use - COVID-19 Patients,ICU Beds in Use - COVID-19 PUI,ICU Beds in Use - Non-COVID-19,ICU Beds Available - Total,ICU Beds Available - Adult,ICU Beds Available - Pediatric,ICU Beds Surge Capacity - Adult,ICU Beds Surge Capacity - Pediatric,Acute Non-ICE Beds - Total Capacity,Acute Non-ICU Beds in Use - Total,Acute Non-ICU Beds in Use - COVID-19,Acute Non-ICU Beds in Use - COVID-19 Patients,Acute Non-ICU Beds in Use - COVID-19 PUI,Acute Non-ICU Beds in Use- Non-COVID-19,Acute Non-ICU Beds Available - Total,Combined Hospital Beds in Use - COVID-19,Daily Update PDF,Publisher,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
03/19/2020,960,388,13,4,9,375,572,448,124,,971,786,185,756,69,26,43,687,215,170,45,,,6516,5000,,,,,1516,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.20_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,186,2,5,35,48,36,25,18,17,2,0,87,98,1,20,10,80,63,7,6,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
03/20/2020,995,388,50,26,24,338,607,483,124,,971,786,185,715,105,41,64,610,256,215,41,,,6518,4976,,,,,1542,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.21_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,155,0,2,23,22,31,31,27,15,4,0,70,85,0,20,6,77,38,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/21/2020,997,416,41,24,17,375,581,457,124,,971,786,185,692,121,35,86,571,279,233,46,,,6518,4548,,,,,1970,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.22_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,125,2,0,18,25,20,28,16,13,5,0,53,72,0,24,6,61,26,4,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0
03/22/2020,1014,444,62,31,31,382,570,446,124,,966,781,185,730,128,39,89,602,236,194,42,,,6529,4578,,,,,1951,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.23_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,169,2,6,23,28,31,37,24,14,6,0,75,94,0,22,6,82,48,8,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0
03/23/2020,1043,425,76,38,38,349,618,494,124,,966,781,185,630,139,55,84,491,336,275,61,,,6529,4687,,,,,1842,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,292,3,4,46,56,54,56,30,35,11,0,141,151,0,38,12,134,73,12,23,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0
03/24/2020,1043,461,102,52,50,359,582,458,124,,966,781,185,674,159,60,99,515,292,230,62,,,6538,4702,,,,,1836,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.25_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,352,2,1,59,69,58,56,61,34,14,0,160,191,1,63,13,158,84,9,25,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0
03/25/2020,1048,476,133,79,54,343,572,448,124,203,966,781,185,667,192,89,103,475,299,256,43,197,30,6548,4224,,,,,2324,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,368,5,2,51,71,72,83,33,36,20,0,170,197,1,49,10,184,85,17,23,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0
03/26/2020,1053,422,127,88,39,295,631,507,124,231,970,785,185,724,250,143,107,474,246,209,37,121,36,6548,4698,,,,,1850,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,416,2,2,66,74,79,96,53,36,10,0,184,230,2,77,12,200,90,13,24,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
03/27/2020,1042,479,170,108,62,309,563,439,124,235,970,785,185,725,252,140,112,473,245,201,44,152,35,6564,4578,,,,,1986,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,406,8,4,43,62,86,102,49,37,22,1,211,193,2,69,10,208,70,12,37,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0
03/28/2020,1053,495,180,121,59,315,558,434,124,213,970,785,185,743,272,156,116,471,227,191,36,183,17,6580,4796,,,,,1784,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,City of Chicago,253,4,2,29,54,38,45,38,28,19,0,138,113,2,38,6,133,43,10,23,0,0,0,0,2,0,1,1,0,1,3,0,1,0,3,0,0,0
