death_count_deaths_total,publisher_publisher,case_count_cases_total,date_of_interest_date,hospitalized_count_ventilators_in_use_covid_19_patients
0,City of New York,1,02/29/2020,11
0,City of New York,0,03/01/2020,4
0,City of New York,0,03/02/2020,22
0,City of New York,2,03/03/2020,20
0,City of New York,5,03/04/2020,22
0,City of New York,3,03/05/2020,20
0,City of New York,8,03/06/2020,18
0,City of New York,7,03/07/2020,15
0,City of New York,21,03/08/2020,18
0,City of New York,58,03/09/2020,49
0,City of New York,70,03/10/2020,63
1,City of New York,155,03/11/2020,90
0,City of New York,357,03/12/2020,92
0,City of New York,620,03/13/2020,157
2,City of New York,644,03/14/2020,159
5,City of New York,1037,03/15/2020,189
8,City of New York,2123,03/16/2020,317
8,City of New York,2455,03/17/2020,359
21,City of New York,2984,03/18/2020,472
24,City of New York,3713,03/19/2020,559
47,City of New York,4014,03/20/2020,665
44,City of New York,2640,03/21/2020,700
50,City of New York,2580,03/22/2020,725
82,City of New York,3571,03/23/2020,1037
95,City of New York,4507,03/24/2020,1153
123,City of New York,4864,03/25/2020,1303
190,City of New York,5051,03/26/2020,1454
218,City of New York,5128,03/27/2020,1392
273,City of New York,3478,03/28/2020,1364
292,City of New York,3560,03/29/2020,1406
326,City of New York,6131,03/30/2020,1717
384,City of New York,5473,03/31/2020,1695
447,City of New York,5464,04/01/2020,1587
499,City of New York,5768,04/02/2020,1618
498,City of New York,5676,04/03/2020,1601
510,City of New York,3869,04/04/2020,1344
580,City of New York,3794,04/05/2020,1328
576,City of New York,6378,04/06/2020,1724
597,City of New York,6065,04/07/2020,1605
568,City of New York,5585,04/08/2020,1541
561,City of New York,5074,04/09/2020,1429
539,City of New York,4521,04/10/2020,1336
543,City of New York,3733,04/11/2020,1097
573,City of New York,2889,04/12/2020,995
571,City of New York,3311,04/13/2020,1214
512,City of New York,4148,04/14/2020,1088
454,City of New York,3878,04/15/2020,982
413,City of New York,3528,04/16/2020,883
384,City of New York,3581,04/17/2020,903
392,City of New York,2171,04/18/2020,663
399,City of New York,2346,04/19/2020,593
364,City of New York,3793,04/20/2020,725
323,City of New York,3063,04/21/2020,661
312,City of New York,3464,04/22/2020,599
332,City of New York,2844,04/23/2020,533
316,City of New York,2538,04/24/2020,550
265,City of New York,1595,04/25/2020,403
247,City of New York,1003,04/26/2020,376
271,City of New York,2297,04/27/2020,444
228,City of New York,2731,04/28/2020,444
240,City of New York,2342,04/29/2020,408
222,City of New York,2024,04/30/2020,345
209,City of New York,1889,05/01/2020,352
192,City of New York,1060,05/02/2020,263
178,City of New York,784,05/03/2020,256
159,City of New York,1550,05/04/2020,309
151,City of New York,1513,05/05/2020,283
150,City of New York,1402,05/06/2020,257
142,City of New York,1235,05/07/2020,252
131,City of New York,1086,05/08/2020,253
100,City of New York,658,05/09/2020,182
102,City of New York,460,05/10/2020,153
103,City of New York,1233,05/11/2020,246
91,City of New York,1285,05/12/2020,203
83,City of New York,1337,05/13/2020,224
70,City of New York,1112,05/14/2020,214
86,City of New York,876,05/15/2020,231
83,City of New York,488,05/16/2020,164
77,City of New York,359,05/17/2020,122
57,City of New York,901,05/18/2020,175
54,City of New York,1005,05/19/2020,201
81,City of New York,1072,05/20/2020,164
45,City of New York,1071,05/21/2020,172
64,City of New York,1061,05/22/2020,194
60,City of New York,465,05/23/2020,129
49,City of New York,480,05/24/2020,119
49,City of New York,468,05/25/2020,139
37,City of New York,1055,05/26/2020,149
49,City of New York,753,05/27/2020,159
38,City of New York,639,05/28/2020,139
43,City of New York,644,05/29/2020,159
54,City of New York,349,05/30/2020,96
39,City of New York,217,05/31/2020,90
34,City of New York,666,06/01/2020,124
38,City of New York,577,06/02/2020,124
42,City of New York,513,06/03/2020,115
32,City of New York,513,06/04/2020,89
27,City of New York,408,06/05/2020,64
35,City of New York,247,06/06/2020,47
24,City of New York,198,06/07/2020,46
41,City of New York,445,06/08/2020,62
33,City of New York,424,06/09/2020,51
31,City of New York,367,06/10/2020,45
21,City of New York,358,06/11/2020,41
23,City of New York,411,06/12/2020,55
14,City of New York,196,06/13/2020,29
24,City of New York,185,06/14/2020,42
20,City of New York,377,06/15/2020,48
19,City of New York,425,06/16/2020,50
20,City of New York,351,06/17/2020,41
17,City of New York,371,06/18/2020,39
17,City of New York,356,06/19/2020,41
19,City of New York,204,06/20/2020,27
28,City of New York,176,06/21/2020,34
25,City of New York,393,06/22/2020,42
